R,G,B,Label
0.4974250980392157,0.3376690196078431,0.3647517647058824,eksim
0.4480929411764706,0.30670588235294116,0.3297121568627451,eksim
0.4480929411764706,0.30670588235294116,0.3297121568627451,eksim
0.4480929411764706,0.30670588235294116,0.3297121568627451,eksim
0.4678313725490196,0.3569658823529412,0.27741137254901965,eksim
0.4664694117647059,0.35035372549019606,0.28127294117647056,eksim
0.4485725490196078,0.328158431372549,0.33320509803921566,eksim
0.4485725490196078,0.328158431372549,0.33320509803921566,eksim
0.5142501960784314,0.38753529411764703,0.3841282352941176,eksim
0.46978509803921564,0.3633749019607843,0.37832627450980394,eksim
0.5069788235294117,0.39963882352941177,0.39962901960784314,eksim
0.47405921568627446,0.3331607843137255,0.3263105882352941,eksim
0.36968313725490193,0.28100901960784314,0.27460862745098036,eksim
0.4346654901960784,0.32370745098039216,0.31573215686274514,eksim
0.6690666666666667,0.4885701960784314,0.4501717647058824,eksim
0.384138431372549,0.29148313725490194,0.3273552941176471,eksim
0.4454721568627451,0.2956858823529412,0.2809572549019608,eksim
0.2818494117647059,0.1742392156862745,0.18099921568627453,eksim
0.39055411764705883,0.26836196078431374,0.21355607843137256,eksim
0.5092564705882353,0.37206039215686276,0.3648411764705882,eksim
0.5640878431372549,0.4112694117647059,0.40602039215686275,eksim
0.3610427450980392,0.2837313725490196,0.2664023529411764,eksim
0.6988717647058823,0.6045815686274509,0.48619019607843134,eksim
0.7222776470588236,0.5742019607843137,0.5102874509803922,eksim
0.5656160784313725,0.4274929411764706,0.41032274509803923,eksim
0.5350450980392156,0.37611176470588237,0.3932466666666667,eksim
0.5122298039215686,0.3950227450980392,0.3999725490196078,eksim
0.4485725490196078,0.328158431372549,0.33320509803921566,eksim
0.473956862745098,0.3841470588235294,0.3411454901960784,eksim
0.5431733333333333,0.40261176470588234,0.38958745098039216,eksim
0.4899129411764706,0.3713658823529412,0.34687725490196075,eksim
0.5639611764705883,0.4071235294117647,0.40364666666666665,eksim
0.6133321568627451,0.4105321568627451,0.35572313725490196,eksim
0.43644666666666665,0.2758741176470588,0.23360745098039215,eksim
0.37634352941176474,0.2670529411764706,0.2231027450980392,eksim
0.559101568627451,0.3959435294117647,0.37590117647058824,eksim
0.529426274509804,0.3278513725490196,0.19481686274509805,eksim
0.8486784313725491,0.5979635294117648,0.4488949019607843,eksim
0.8441682352941177,0.6256866666666666,0.5110494117647059,eksim
0.4300407843137255,0.3639305882352941,0.3133533333333334,eksim
0.5051866666666667,0.3965533333333333,0.328761568627451,eksim
0.3955043137254902,0.30233333333333334,0.288995294117647,eksim
0.6551215686274511,0.4775627450980392,0.40716470588235293,eksim
0.4522427450980392,0.3368466666666667,0.3058262745098039,eksim
0.6223717647058824,0.46397058823529413,0.4356537254901961,eksim
0.4796670588235294,0.3609309803921569,0.3418498039215686,eksim
0.5585321568627452,0.423141568627451,0.40631764705882356,eksim
0.4429992156862745,0.33937686274509804,0.2932603921568628,eksim
0.5592039215686275,0.30666627450980394,0.233841568627451,eksim
0.5701196078431373,0.3416227450980392,0.27078431372549017,eksim
0.5806439215686274,0.35310274509803924,0.3000035294117647,eksim
0.5232592156862744,0.38870313725490196,0.3451137254901961,eksim
0.6276545098039216,0.4703176470588235,0.3868443137254902,eksim
0.49993333333333334,0.3744643137254902,0.33044862745098036,eksim
0.475958431372549,0.33262156862745096,0.3262078431372549,eksim
0.6108003921568628,0.40262431372549023,0.42092392156862746,eksim
0.3976368627450981,0.2758454901960784,0.278861568627451,eksim
